27.46.20.102	888	广东深圳	透明	HTTP	211天	18-09-17 03:57	
223.199.151.126	9797	海南	透明	HTTPS	7小时	18-09-17 02:58	
112.95.206.208	9999	广东深圳	透明	HTTPS	49分钟	18-09-17 02:45	
58.210.136.83	52570	江苏苏州	高匿	HTTPS	3天	18-09-23 12:17	
61.145.203.249	38695	广东东莞	高匿	HTTP	2天	18-09-23 12:17	
123.244.148.7	50364	辽宁盘锦	高匿	HTTPS	7小时	18-09-23 12:15	
59.172.27.6	53281	湖北武汉	高匿	HTTPS	402天	18-09-23 12:15	
106.56.102.57	8070	云南	高匿	HTTP	101天	18-09-23 12:15	
116.226.80.207	31197	上海	高匿	HTTPS	8小时	18-09-23 12:14	
123.249.3.152	44484	贵州	高匿	HTTPS	4小时	18-09-23 12:14	
114.225.171.86	53128	江苏无锡	高匿	HTTPS	2小时	18-09-23 12:13	
124.234.157.228	80	吉林长春	高匿	HTTP	9天	18-09-23 12:12	
27.16.163.20	8010	湖北武汉	高匿	HTTPS	100天	18-09-23 12:11	
120.34.102.7	49243	福建龙岩	高匿	HTTPS	3小时	18-09-23 12:00	
58.251.235.227	9797	广东深圳	透明	HTTPS	5小时	18-09-17 02:43	
112.95.206.205	9000	广东深圳	透明	HTTP	971天	18-09-17 02:16	
119.131.60.248	808	广东广州	透明	HTTPS	1天	18-09-17 00:33	
58.251.235.226	9797	广东深圳	透明	HTTPS	2小时	18-09-16 23:40	
58.251.235.225	9797	广东深圳	透明	HTTPS	2小时	18-09-16 23:38	
112.95.26.150	8088	广东深圳	透明	HTTP	6天	18-09-16 23:30	
124.65.210.241	1975	北京	透明	HTTP	3小时	18-09-16 23:20	
124.65.210.241	1975	北京	透明	HTTPS	3小时	18-09-16 23:10	
106.113.243.152	9999	河北	透明	HTTPS	124天	18-09-16 22:20	
163.125.249.194	8118	广东深圳	透明	HTTP	2小时	18-09-16 18:39	
163.125.150.149	9797	广东深圳	透明	HTTP	1天	18-09-16 18:00	
14.20.235.130	9797	广东深圳	透明	HTTPS	1分钟	18-09-16 17:46	
218.75.70.3	8118	浙江杭州	透明	HTTP	321天	18-09-16 17:44	
117.68.193.64	808	安徽合肥市巢湖	高匿	HTTPS	14小时	18-09-23 11:52	
120.55.166.180	80	长城宽带	高匿	HTTPS	4小时	18-09-23 11:48	
1.196.176.115	44268	河南商丘	高匿	HTTP	10小时	18-09-23 11:43	
60.166.120.126	8118	安徽合肥	高匿	HTTP	7小时	18-09-23 11:40	
114.225.170.179	53128	江苏无锡	高匿	HTTPS	46天	18-09-23 11:32	
163.125.213.198	47043	广东深圳	高匿	HTTPS	5小时	18-09-23 11:31	
110.73.42.171	8123	广西南宁	高匿	HTTP	1分钟	18-09-23 11:30	
58.216.8.97	45648	江苏常州	高匿	HTTPS	2小时	18-09-23 11:30	
114.112.70.150	57871	江苏	高匿	HTTPS	5小时	18-09-23 11:16	
121.31.176.223	8123	广西北海	高匿	HTTP	1分钟	18-09-23 11:16	
180.168.13.26	8000	上海	高匿	HTTP	54天	18-09-23 11:11	
111.200.80.135	8123	北京	高匿	HTTPS	1分钟	18-09-23 11:00	
112.64.30.213	60343	上海	高匿	HTTPS	6小时	18-09-23 11:00	
111.200.80.135	8123	北京	高匿	HTTP	1分钟	18-09-23 11:00	
